id,city,area,property_type,bedrooms,bathrooms,nightly_price_usd,review_score,occupancy_rate,distance_to_beach_km,distance_to_airport_km,num_reviews,amenities,annual_revenue_usd,property_price_usd,roi_pct,investment_score,latitude,longitude,peak_occupancy,off_occupancy,amenity_count,has_pool,has_wifi,has_ac,has_parking,city_enc,area_enc,property_type_enc,investment_label,label_enc
DXB0026,Dubai,Downtown Dubai,Townhouse,4,3,709,3.9,0.53,7.2,5.3,207,Gym|Balcony|Washer|Parking|Doorman|Kitchen|Sea View|WiFi,98752,1273813,7.75,81,24.7609,55.2981,0.53,0.265,8,0,1,0,1,0,12,10,Buy,2
DXB0027,Dubai,Palm Jumeirah,Studio,3,3,262,3.99,0.71,5.6,11.7,280,Pool|Sea View|Gym|Doorman,48886,638933,7.65,85,25.1273,55.0423,0.71,0.355,4,1,0,0,0,0,21,8,Buy,2
DXB0028,Dubai,Downtown Dubai,Townhouse,2,1,483,4.7,0.76,6.8,22.0,283,Gym|WiFi|Washer|Parking|Doorman|Kitchen,96469,1262880,7.64,91,24.7562,55.1206,0.76,0.38,6,0,1,0,1,0,12,10,Buy,2
DXB0029,Dubai,Business Bay,Townhouse,4,3,483,4.09,0.91,3.2,23.9,149,AC|Gym|Parking|Sea View|Pool|Washer|Kitchen|WiFi,115508,1613667,7.16,87,25.1769,55.2016,0.91,0.455,8,1,1,1,1,0,6,10,Buy,2
DXB0030,Dubai,DIFC,Villa,2,1,829,4.39,0.54,5.8,5.7,329,Kitchen|Sea View|AC|Balcony|Pool|Washer,117645,1373846,8.56,89,25.0873,55.0063,0.54,0.27,6,1,0,1,0,0,10,11,Buy,2
DXB0031,Dubai,Dubai Hills,Studio,0,1,109,4.94,0.88,3.0,32.8,366,Parking|AC|Doorman|Washer|WiFi|Kitchen,25208,269296,9.36,100,24.9569,55.48,0.88,0.44,6,0,1,1,1,0,13,8,Buy,2
DXB0032,Dubai,Dubai Hills,Townhouse,0,1,273,4.82,0.59,3.1,14.5,194,Parking|Kitchen|Pool|Balcony,42329,584850,7.24,87,24.8017,55.2341,0.59,0.295,4,1,0,0,1,0,13,10,Buy,2
DXB0033,Dubai,DIFC,Townhouse,1,1,509,4.64,0.72,0.9,34.7,188,Pool|AC|Washer|Balcony|Doorman,96311,1245424,7.73,92,24.7841,55.211,0.72,0.36,5,1,0,1,0,0,10,10,Buy,2
DXB0034,Dubai,Downtown Dubai,Villa,0,1,568,4.69,0.78,5.6,13.8,96,Balcony|Parking|WiFi|Doorman|Gym|Washer|Sea View|Pool,116431,1394039,8.35,95,25.1856,55.3861,0.78,0.39,8,1,1,0,1,0,12,11,Buy,2
DXB0035,Dubai,JBR,Penthouse,1,1,777,4.9,0.69,4.1,24.5,118,Gym|Balcony|Pool|Kitchen|WiFi,140895,1918794,7.34,90,25.1212,55.3775,0.69,0.345,5,1,1,0,0,0,15,7,Buy,2
DXB0036,Dubai,Downtown Dubai,Penthouse,2,2,1139,4.21,0.63,0.8,6.1,147,WiFi|Pool|Doorman|Sea View|Parking,188577,2412569,7.82,88,24.9794,55.2256,0.63,0.315,5,1,1,0,1,0,12,7,Buy,2
DXB0037,Dubai,JVC,Studio,2,3,112,4.51,0.46,0.4,15.8,140,Balcony|Kitchen|Washer|Pool|Doorman|Parking|Gym|AC,13539,185616,7.29,87,24.7762,55.2133,0.46,0.23,8,1,0,1,1,0,16,8,Buy,2
DXB0038,Dubai,Dubai Marina,Apartment,4,4,389,4.06,0.74,0.8,20.9,135,Washer|Balcony|Gym|WiFi|AC|Sea View,75650,818443,9.24,96,25.0244,55.2825,0.74,0.37,6,0,1,1,0,0,14,0,Buy,2
DXB0039,Dubai,Dubai Marina,Penthouse,0,1,641,4.97,0.69,2.7,13.1,68,WiFi|Washer|Balcony|Pool|Kitchen|Parking|AC|Doorman,116234,1581590,7.35,91,24.9634,54.9471,0.69,0.345,8,1,1,1,1,0,14,7,Buy,2
DXB0040,Dubai,Business Bay,Townhouse,2,3,334,4.96,0.84,5.6,10.2,345,Washer|Balcony|AC|Sea View|Gym|Doorman|WiFi,73731,896464,8.22,98,24.7939,55.0501,0.84,0.42,7,0,1,1,0,0,6,10,Buy,2
DXB0041,Dubai,Dubai Hills,Villa,4,5,731,4.66,0.76,2.3,27.1,225,Balcony|Kitchen|Pool|Parking|Doorman|Gym,146001,2074053,7.04,89,25.0326,55.267,0.76,0.38,6,1,0,0,1,0,13,11,Buy,2
DXB0042,Dubai,DIFC,Townhouse,2,2,527,4.1,0.62,6.1,8.5,150,Sea View|WiFi|Doorman|Balcony|Washer|Gym|Pool,85867,916972,9.36,92,24.7276,54.9244,0.62,0.31,7,1,1,0,0,0,10,10,Buy,2
DXB0043,Dubai,Deira,Townhouse,2,1,249,4.64,0.67,0.9,19.2,28,AC|WiFi|Kitchen|Gym|Pool,43843,546659,8.02,93,24.8039,55.1603,0.67,0.335,5,1,1,1,0,0,11,10,Buy,2
DXB0044,Dubai,Downtown Dubai,Penthouse,4,3,1319,4.54,0.75,0.5,23.8,340,Balcony|WiFi|Doorman|Kitchen|Sea View|Gym|AC,259975,3127447,8.31,97,25.0019,55.4139,0.75,0.375,7,0,1,1,0,0,12,7,Buy,2
DXB0045,Dubai,Dubai Marina,Apartment,3,2,330,4.0,0.48,5.2,22.6,67,Kitchen|Sea View|Pool|AC|Gym,41628,446436,9.32,89,25.2641,55.2453,0.48,0.24,5,1,0,1,0,0,14,0,Buy,2
DXB0046,Dubai,Silicon Oasis,Villa,3,4,406,4.57,0.67,4.4,16.6,233,Kitchen|Washer|Sea View|AC|Doorman|Balcony|WiFi|Parking,71487,1011934,7.06,86,25.2767,55.4432,0.67,0.335,8,0,1,1,1,0,24,11,Buy,2
DXB0047,Dubai,Palm Jumeirah,Penthouse,3,3,1399,3.88,0.5,0.2,25.5,145,AC|Kitchen|Sea View|Washer|Gym,183829,2018288,9.11,97,24.7427,55.0914,0.5,0.25,5,0,0,1,0,0,21,7,Buy,2
DXB0048,Dubai,Silicon Oasis,Apartment,2,1,159,3.83,0.83,2.3,25.9,201,Washer|Doorman|Gym|Sea View|Balcony|Kitchen,34682,383864,9.03,93,25.0774,55.4265,0.83,0.415,6,0,0,0,0,0,24,0,Buy,2
DXB0049,Dubai,Palm Jumeirah,Villa,0,1,707,4.76,0.58,1.5,29.2,204,Washer|Kitchen|Sea View|WiFi|Pool|Gym|Balcony,107764,1448327,7.44,88,25.2943,55.1476,0.58,0.29,7,1,1,0,0,0,21,11,Buy,2
DXB0050,Dubai,DIFC,Apartment,4,4,415,4.73,0.61,7.5,17.9,254,Pool|Washer|AC|Balcony|WiFi|Kitchen|Gym,66528,921017,7.22,86,25.1505,55.3527,0.61,0.305,7,1,1,1,0,0,10,0,Buy,2
DXB0051,Dubai,Downtown Dubai,Studio,3,3,210,4.88,0.69,6.6,31.9,89,Balcony|Washer|Doorman|Kitchen,38080,450303,8.46,95,24.9335,54.9065,0.69,0.345,4,0,0,0,0,0,12,8,Buy,2
DXB0052,Dubai,Silicon Oasis,Villa,4,5,538,3.91,0.6,7.6,22.2,224,Balcony|Pool|Gym|Washer,84832,1203747,7.05,79,25.0791,55.1691,0.6,0.3,4,1,0,0,0,0,24,11,Buy,2
DXB0053,Dubai,Palm Jumeirah,Penthouse,1,1,1032,4.19,0.77,6.0,28.7,394,Balcony|Washer|WiFi|Sea View|Parking|Kitchen,208831,2838728,7.36,86,24.7547,55.1967,0.77,0.385,6,0,1,0,1,0,21,7,Buy,2
DXB0054,Dubai,Dubai Hills,Studio,3,3,146,4.46,0.66,7.1,8.5,119,Sea View|Pool|Kitchen|Parking,25323,302380,8.37,91,24.7858,55.3569,0.66,0.33,4,1,0,0,1,0,13,8,Buy,2
DXB0055,Dubai,JVC,Apartment,0,1,124,3.92,0.49,5.6,29.7,347,Pool|Parking|WiFi|Gym|Sea View,15968,174017,9.18,87,25.1237,54.9488,0.49,0.245,5,1,1,0,1,0,16,0,Buy,2
DXB0056,Dubai,JVC,Townhouse,1,1,219,4.98,0.63,3.0,33.4,60,Washer|Parking|Gym|Balcony|Sea View|Kitchen,36259,495769,7.31,90,25.2916,55.352,0.63,0.315,6,0,0,0,1,0,16,10,Buy,2
DXB0057,Dubai,DIFC,Apartment,2,3,312,3.9,0.82,4.5,32.2,361,Balcony|WiFi|Gym|AC|Washer|Sea View|Pool,67235,821332,8.19,89,24.7667,55.1956,0.82,0.41,7,1,1,1,0,0,10,0,Buy,2
DXB0058,Dubai,Business Bay,Townhouse,0,1,222,4.36,0.48,1.0,24.5,194,Washer|Kitchen|Balcony|Doorman,28004,309885,9.04,92,25.1476,55.25,0.48,0.24,4,0,0,0,0,0,6,10,Buy,2
DXB0059,Dubai,JVC,Townhouse,2,1,342,4.25,0.58,7.0,33.9,227,Sea View|Gym|Balcony|Parking|Washer|WiFi|Kitchen,52129,597580,8.72,89,24.7073,55.4819,0.58,0.29,7,0,1,0,1,0,16,10,Buy,2
DXB0060,Dubai,Palm Jumeirah,Townhouse,2,3,570,4.87,0.7,7.9,21.6,130,Sea View|Doorman|Balcony|Kitchen|Washer|AC|Parking|Gym,104857,1143123,9.17,99,25.2816,55.2139,0.7,0.35,8,0,0,1,1,0,21,10,Buy,2
DXB0061,Dubai,JVC,Studio,3,2,145,4.63,0.66,5.1,32.0,254,Doorman|Balcony|Washer|Pool|WiFi|Parking|Gym,25150,322327,7.8,90,24.7273,55.0686,0.66,0.33,7,1,1,0,1,0,16,8,Buy,2
DXB0062,Dubai,Downtown Dubai,Studio,2,2,232,4.87,0.66,5.0,10.6,128,Doorman|AC|Pool|Kitchen|Gym|Sea View,40240,469407,8.57,95,24.9782,55.112,0.66,0.33,6,1,0,1,0,0,12,8,Buy,2
DXB0063,Dubai,Dubai Hills,Penthouse,4,3,984,3.89,0.91,7.9,21.1,359,Sea View|Doorman|Pool|Kitchen|Parking|Gym|WiFi,235322,3116394,7.55,87,24.8857,55.3883,0.91,0.455,7,1,1,0,1,0,13,7,Buy,2
DXB0064,Dubai,Downtown Dubai,Studio,4,4,287,4.0,0.88,6.6,26.8,185,Kitchen|Doorman|Washer|WiFi|Sea View|AC|Parking,66373,941617,7.05,85,25.068,55.1509,0.88,0.44,7,0,1,1,1,0,12,8,Buy,2
DXB0065,Dubai,Silicon Oasis,Studio,2,2,108,4.84,0.47,0.3,29.3,279,Gym|WiFi|Washer|Pool|Sea View,13340,160570,8.31,96,25.2924,54.9903,0.47,0.235,5,1,1,0,0,0,24,8,Buy,2
DXB0066,Dubai,Palm Jumeirah,Villa,1,2,848,4.26,0.91,6.8,19.1,189,AC|Kitchen|Doorman|Pool|Gym|Parking|Washer,202798,2792271,7.26,89,24.9489,55.064,0.91,0.455,7,1,0,1,1,0,21,11,Buy,2
DXB0067,Dubai,Palm Jumeirah,Studio,0,1,153,4.84,0.83,8.0,21.7,390,Parking|AC|Pool|Sea View|Kitchen|Doorman|Gym|Washer,33373,479316,6.96,90,25.1614,55.4669,0.83,0.415,8,1,0,1,1,0,21,8,Hold,1
DXB0068,Dubai,Silicon Oasis,Apartment,0,1,106,4.1,0.66,1.1,23.2,134,Sea View|Doorman|Kitchen|Parking|Gym|Pool,18385,261116,7.04,83,24.8372,55.303,0.66,0.33,6,1,0,0,1,0,24,0,Buy,2
DXB0069,Dubai,Silicon Oasis,Apartment,0,1,99,4.23,0.5,5.4,28.2,132,Gym|Pool|Parking|Doorman|AC|Sea View|Kitchen,13009,163603,7.95,84,25.0121,55.4113,0.5,0.25,7,1,0,1,1,0,24,0,Buy,2
DXB0070,Dubai,JVC,Townhouse,3,4,355,4.47,0.86,3.3,5.9,296,Doorman|WiFi|Balcony|Kitchen|Sea View|Parking|Washer|Gym,80233,892797,8.99,99,25.1531,55.2722,0.86,0.43,8,0,1,0,1,0,16,10,Buy,2
DXB0071,Dubai,DIFC,Apartment,4,5,458,4.06,0.51,0.2,22.7,46,WiFi|Doorman|AC|Washer,61385,732919,8.38,95,24.9353,55.1625,0.51,0.255,4,0,1,1,0,0,10,0,Buy,2
DXB0072,Dubai,Palm Jumeirah,Villa,1,2,925,4.22,0.69,6.3,23.7,357,Parking|Pool|Balcony|WiFi,167732,2031576,8.26,89,25.2174,55.4697,0.69,0.345,4,1,1,0,1,0,21,11,Buy,2
DXB0073,Dubai,DIFC,Penthouse,2,1,966,4.91,0.68,2.1,34.4,124,AC|Doorman|Sea View|Pool|Washer,172628,2131396,8.1,94,24.9956,55.0973,0.68,0.34,5,1,0,1,0,0,10,7,Buy,2
DXB0074,Dubai,Business Bay,Townhouse,1,1,338,4.09,0.49,1.1,9.6,77,Kitchen|WiFi|Parking|Sea View,43525,483353,9.0,89,24.7833,55.2845,0.49,0.245,4,0,1,0,1,0,6,10,Buy,2
DXB0075,Dubai,JVC,Apartment,1,1,136,4.21,0.87,3.8,10.2,261,Doorman|AC|Sea View|Pool|WiFi|Parking|Washer|Gym,31094,408213,7.62,90,24.8154,54.9245,0.87,0.435,8,1,1,1,1,0,16,0,Buy,2
DXB0076,Dubai,Deira,Penthouse,3,2,473,4.13,0.53,0.8,18.8,350,Pool|Balcony|Washer|AC|Parking|Doorman|Kitchen|WiFi,65881,729789,9.03,91,24.8238,55.1186,0.53,0.265,8,1,1,1,1,0,11,7,Buy,2
DXB0077,Dubai,DIFC,Townhouse,0,1,360,4.63,0.47,6.4,7.5,147,Doorman|Pool|Parking|WiFi|AC|Balcony,44466,577152,7.7,85,25.2241,55.4525,0.47,0.235,6,1,1,1,1,0,10,10,Buy,2
DXB0078,Dubai,Palm Jumeirah,Townhouse,3,4,669,4.13,0.83,6.0,11.3,87,Gym|Sea View|Washer|WiFi|Parking|Kitchen|Pool,145925,1651426,8.84,94,24.9223,55.1907,0.83,0.415,7,1,1,0,1,0,21,10,Buy,2
DXB0079,Dubai,JBR,Penthouse,3,3,1015,4.24,0.67,6.0,12.6,64,Kitchen|Pool|Sea View|Doorman|Parking|Washer|AC,178717,1923453,9.29,94,25.128,55.4371,0.67,0.335,7,1,0,1,1,0,15,7,Buy,2
DXB0080,Dubai,Dubai Hills,Townhouse,0,1,241,4.44,0.5,3.6,12.3,231,Sea View|Balcony|Pool|Gym|AC|Parking|WiFi|Washer,31667,399711,7.92,86,24.8615,55.1264,0.5,0.25,8,1,1,1,1,0,13,10,Buy,2
DXB0081,Dubai,Dubai Marina,Villa,2,3,578,4.19,0.55,2.7,31.7,327,AC|Sea View|Kitchen|Pool|Balcony,83544,925175,9.03,90,25.0562,55.3075,0.55,0.275,5,1,0,1,0,0,14,11,Buy,2
DXB0082,Dubai,DIFC,Villa,1,1,734,4.4,0.49,4.3,27.4,336,Pool|Kitchen|Balcony|Doorman|Gym|Sea View|WiFi|AC,94519,1212268,7.8,84,24.959,54.9765,0.49,0.245,8,1,1,1,0,0,10,11,Buy,2
DXB0083,Dubai,Palm Jumeirah,Penthouse,2,3,1234,4.24,0.75,4.6,34.6,79,Balcony|Sea View|Kitchen|Gym|WiFi|AC,243221,2909011,8.36,91,25.0635,55.0423,0.75,0.375,6,0,1,1,0,0,21,7,Buy,2
DXB0084,Dubai,Dubai Hills,Villa,4,5,634,3.98,0.57,1.4,13.6,141,Gym|AC|Balcony|Parking|Kitchen,94971,1075511,8.83,89,24.804,55.4381,0.57,0.285,5,0,0,1,1,0,13,11,Buy,2
DXB0085,Dubai,Dubai Marina,Studio,2,3,157,4.43,0.64,7.9,16.9,395,Sea View|Parking|Doorman|AC|WiFi|Kitchen|Balcony|Washer,26406,291658,9.05,94,25.2817,55.4193,0.64,0.32,8,0,1,1,1,0,14,8,Buy,2
DXB0086,Dubai,Deira,Penthouse,3,3,575,4.11,0.53,5.4,21.7,27,WiFi|Balcony|Doorman|Kitchen|Sea View,80088,1130054,7.09,79,25.043,55.068,0.53,0.265,5,0,1,0,0,0,11,7,Buy,2
DXB0087,Dubai,JBR,Penthouse,3,3,1059,4.02,0.6,3.5,12.3,174,Sea View|Pool|Parking|AC|Balcony,166983,2092053,7.98,85,24.7689,55.2664,0.6,0.3,5,1,0,1,1,0,15,7,Buy,2
DXB0088,Dubai,JVC,Penthouse,0,1,375,4.5,0.52,3.9,6.6,245,Pool|Parking|Balcony|Sea View|Washer|Gym|Doorman,51246,646838,7.92,87,24.902,54.9806,0.52,0.26,7,1,0,0,1,0,16,7,Buy,2
DXB0089,Dubai,Business Bay,Studio,4,5,181,4.99,0.6,6.5,25.4,321,Gym|Washer|Balcony|Parking|Kitchen|WiFi|Pool,28540,330490,8.64,95,25.1561,55.2574,0.6,0.3,7,1,1,0,1,0,6,8,Buy,2
DXB0090,Dubai,JVC,Villa,2,1,446,4.29,0.61,7.4,34.0,90,Balcony|Gym|Kitchen|WiFi,71497,982356,7.28,83,24.7746,55.3385,0.61,0.305,4,0,1,0,0,0,16,11,Buy,2
DXB0091,Dubai,Business Bay,Apartment,0,1,177,4.02,0.48,6.0,30.3,79,AC|Washer|Kitchen|WiFi,22327,285323,7.83,81,24.7839,55.3772,0.48,0.24,4,0,1,1,0,0,6,0,Buy,2
DXB0092,Dubai,Downtown Dubai,Townhouse,3,4,542,4.0,0.53,6.5,20.7,322,Parking|Doorman|Gym|AC|WiFi,75492,990417,7.62,81,24.9153,55.4263,0.53,0.265,5,0,1,1,1,0,12,10,Buy,2
DXB0093,Dubai,Downtown Dubai,Penthouse,4,3,1316,4.78,0.66,3.1,14.0,9,Sea View|AC|Doorman|Parking|Washer,228258,2821280,8.09,93,25.1486,55.2016,0.66,0.33,5,0,0,1,1,0,12,7,Buy,2
DXB0094,Dubai,Silicon Oasis,Studio,4,3,118,4.88,0.63,4.4,23.7,222,Sea View|Washer|AC|Kitchen,19537,273992,7.13,88,24.7701,55.4639,0.63,0.315,4,0,0,1,0,0,24,8,Buy,2
DXB0095,Dubai,Business Bay,Penthouse,2,1,810,4.2,0.52,6.4,21.0,363,Sea View|Gym|WiFi|Doorman|AC|Parking|Washer,110691,1433479,7.72,83,25.2363,55.3732,0.52,0.26,7,0,1,1,1,0,6,7,Buy,2
DXB0096,Dubai,Business Bay,Apartment,3,3,244,4.17,0.57,6.0,22.1,151,Doorman|Pool|Sea View|Balcony,36550,392940,9.3,92,25.1575,55.4261,0.57,0.285,4,1,0,0,0,0,6,0,Buy,2
DXB0097,Dubai,Downtown Dubai,Townhouse,2,1,486,4.79,0.5,6.8,16.9,326,Doorman|AC|Parking|Washer|Pool,63860,709043,9.01,94,25.1784,54.99,0.5,0.25,5,1,0,1,1,0,12,10,Buy,2
DXB0098,Dubai,Dubai Marina,Studio,3,2,193,4.67,0.79,5.2,21.3,72,Washer|Parking|Gym|Kitchen|Balcony|WiFi|Sea View|Pool,40069,530005,7.56,91,24.8511,55.1074,0.79,0.395,8,1,1,0,1,0,14,8,Buy,2
DXB0099,Dubai,Deira,Studio,4,5,109,4.89,0.72,3.3,33.4,416,Parking|AC|Sea View|Balcony|Doorman|Washer,20625,254874,8.09,95,24.792,55.2517,0.72,0.36,6,0,0,1,1,0,11,8,Buy,2
DXB0100,Dubai,JVC,Penthouse,0,1,401,4.53,0.46,7.0,22.0,12,Balcony|Kitchen|Washer|Pool|WiFi,48476,684503,7.08,81,25.118,55.4535,0.46,0.23,5,1,1,0,0,0,16,7,Buy,2
DXB0101,Dubai,Business Bay,Townhouse,0,1,276,3.98,0.72,4.9,27.1,246,AC|Balcony|Washer|Pool|Sea View|Gym,52224,637942,8.19,88,25.2606,55.4553,0.72,0.36,6,1,0,1,0,0,6,10,Buy,2
DXB0102,Dubai,Dubai Marina,Townhouse,4,4,591,3.94,0.91,6.7,32.6,28,WiFi|Gym|Sea View|Washer|Parking|Doorman|Pool|AC,141336,1567767,9.02,95,25.2219,55.2113,0.91,0.455,8,1,1,1,1,0,14,10,Buy,2
DXB0103,Dubai,Dubai Marina,Studio,3,2,216,4.28,0.48,2.7,5.1,237,WiFi|Kitchen|Parking|Doorman,27247,371532,7.33,81,24.9001,55.1389,0.48,0.24,4,0,1,0,1,0,14,8,Buy,2
DXB0104,Dubai,JBR,Townhouse,3,4,495,4.9,0.61,2.8,18.6,148,Balcony|Gym|Sea View|AC|WiFi,79352,1062573,7.47,89,24.8348,55.1715,0.61,0.305,5,0,1,1,0,0,15,10,Buy,2
DXB0105,Dubai,Dubai Marina,Studio,1,1,134,4.01,0.68,3.4,15.9,36,WiFi|Washer|Gym|Kitchen|Parking|AC|Balcony,23946,336577,7.11,82,25.0484,55.2794,0.68,0.34,7,0,1,1,1,0,14,8,Buy,2
DXB0106,Dubai,Dubai Hills,Studio,1,1,102,4.6,0.53,7.7,17.4,407,Gym|WiFi|Pool|Sea View|Parking|Doorman|AC,14207,158870,8.94,92,24.7512,55.4981,0.53,0.265,7,1,1,1,1,0,13,8,Buy,2
DXB0107,Dubai,DIFC,Villa,0,1,540,4.51,0.48,6.0,31.9,408,Doorman|WiFi|Kitchen|Parking|Gym,68118,777373,8.76,90,24.8231,55.0144,0.48,0.24,5,0,1,0,1,0,10,11,Buy,2
DXB0108,Dubai,DIFC,Apartment,2,1,279,4.37,0.72,0.6,18.6,18,Kitchen|AC|Parking|Pool|Washer,52791,714433,7.39,90,25.0146,55.1645,0.72,0.36,5,1,0,1,1,0,10,0,Buy,2
