id,city,area,property_type,bedrooms,bathrooms,nightly_price_usd,review_score,occupancy_rate,distance_to_beach_km,distance_to_airport_km,num_reviews,amenities,annual_revenue_usd,property_price_usd,roi_pct,investment_score,latitude,longitude
MLD0011,Maldives,North Male Atoll,Overwater Bungalow,3,3,813,4.35,0.57,0.0,3.1,400,WiFi|Sun Deck|Glass Floor|Snorkeling Gear|Kayak|AC|Butler Service|Private Pool,126858,1934819,6.56,89,3.7268,75.2813
MLD0012,Maldives,Vaavu Atoll,Beach Villa,1,1,340,4.9,0.65,0.0,0.2,312,WiFi|Kayak|Direct Lagoon Access|Glass Floor|Sun Deck,60499,968116,6.25,93,6.0465,74.0038
MLD0013,Maldives,Noonu Atoll,Sunset Villa,2,2,500,4.9,0.87,0.0,1.1,266,Kayak|WiFi|AC|Butler Service|Glass Floor,119081,1969655,6.05,96,5.844,76.2964
MLD0014,Maldives,North Male Atoll,Overwater Bungalow,2,2,862,4.39,0.8,0.0,1.4,47,AC|WiFi|Butler Service|Snorkeling Gear|Outdoor Shower|Private Pool|Kayak|Sun Deck|Direct Lagoon Access,188778,2836772,6.65,94,2.0648,74.3423
MLD0015,Maldives,Noonu Atoll,Garden Room,3,3,219,4.22,0.79,0.0,1.2,194,Snorkeling Gear|Outdoor Shower|Private Pool|WiFi|Glass Floor|Butler Service|Sun Deck|AC|Direct Lagoon Access,47361,798805,5.93,88,4.1064,73.1685
MLD0016,Maldives,Lhaviyani Atoll,Water Villa,2,2,700,4.39,0.74,0.0,0.9,49,Butler Service|Snorkeling Gear|Kayak|Direct Lagoon Access|WiFi|Private Pool|Outdoor Shower|AC,141802,2367340,5.99,89,3.1016,75.1839
MLD0017,Maldives,Baa Atoll,Sunset Villa,2,2,678,4.29,0.71,0.0,0.4,563,AC|Private Pool|Snorkeling Gear|Sun Deck|Kayak|Butler Service|WiFi|Outdoor Shower|Direct Lagoon Access,131778,2239428,5.88,87,3.8508,74.6105
MLD0018,Maldives,North Male Atoll,Sunset Villa,1,1,679,4.94,0.74,0.0,2.1,218,Direct Lagoon Access|Kayak|Glass Floor|Private Pool|WiFi|Outdoor Shower|Sun Deck,137548,2247375,6.12,94,8.6436,75.6087
MLD0019,Maldives,Noonu Atoll,Sunset Villa,2,2,463,4.88,0.7,0.0,2.9,427,Direct Lagoon Access|Outdoor Shower|WiFi|Kayak|Private Pool|Butler Service|Glass Floor|Sun Deck,88722,1574191,5.64,90,3.3221,75.3046
MLD0020,Maldives,Noonu Atoll,Garden Room,2,2,206,4.44,0.65,0.0,2.6,330,Private Pool|Butler Service|AC|Kayak|Sun Deck|Direct Lagoon Access|Outdoor Shower|Snorkeling Gear|Glass Floor,36655,577906,6.34,90,2.0063,75.3609
MLD0021,Maldives,Noonu Atoll,Beach Villa,2,2,347,4.28,0.63,0.0,1.5,561,Private Pool|Butler Service|Outdoor Shower|Glass Floor|AC|Kayak|WiFi|Snorkeling Gear|Direct Lagoon Access,59844,992594,6.03,86,2.312,76.3823
MLD0022,Maldives,South Male Atoll,Sunset Villa,1,1,575,4.46,0.66,0.0,1.7,258,Glass Floor|Sun Deck|Kayak|Butler Service|Outdoor Shower|Direct Lagoon Access|AC|Private Pool|WiFi,103888,1775184,5.85,87,3.0246,73.2557
MLD0023,Maldives,Noonu Atoll,Beach Villa,2,2,427,4.41,0.68,0.0,3.1,370,Direct Lagoon Access|Snorkeling Gear|Glass Floor|AC|Sun Deck|Butler Service|Private Pool,79486,1367993,5.81,87,4.392,75.2348
MLD0024,Maldives,South Male Atoll,Water Villa,3,3,616,4.79,0.72,0.0,2.9,260,Kayak|Snorkeling Gear|Glass Floor|Outdoor Shower|Sun Deck|Direct Lagoon Access|WiFi|Butler Service,121414,2207565,5.5,89,8.4805,76.1371
MLD0025,Maldives,Addu Atoll,Sunset Villa,3,3,406,4.49,0.71,0.0,2.5,93,Kayak|WiFi|Sun Deck|Butler Service|Outdoor Shower|Private Pool,78911,1416189,5.57,87,3.4489,76.1728
MLD0026,Maldives,Addu Atoll,Garden Room,3,3,197,4.98,0.86,0.0,1.1,180,Kayak|Glass Floor|Snorkeling Gear|Direct Lagoon Access|Sun Deck|Private Pool,46379,712065,6.51,99,2.7857,73.6649
MLD0027,Maldives,South Male Atoll,Garden Room,2,2,248,4.84,0.86,0.0,2.3,84,Glass Floor|Direct Lagoon Access|Butler Service|Outdoor Shower|Private Pool|Snorkeling Gear|AC|Kayak|WiFi,58385,876871,6.66,99,3.3042,72.8989
MLD0028,Maldives,Baa Atoll,Sunset Villa,3,3,604,4.6,0.57,0.0,1.3,310,Outdoor Shower|AC|Butler Service|Snorkeling Gear|Sun Deck|WiFi|Direct Lagoon Access|Glass Floor,94247,1469995,6.41,90,6.5295,74.3571
MLD0029,Maldives,South Male Atoll,Water Villa,2,2,719,4.54,0.88,0.0,0.9,456,Kayak|Direct Lagoon Access|Private Pool|Glass Floor|AC|Butler Service|Snorkeling Gear|Sun Deck|WiFi,173207,2896405,5.98,93,7.1521,74.7274
MLD0030,Maldives,Lhaviyani Atoll,Garden Room,3,3,271,4.5,0.71,0.0,0.5,388,Butler Service|Sun Deck|Direct Lagoon Access|Glass Floor|Private Pool|WiFi,52672,897004,5.87,88,4.0175,73.1412
MLD0031,Maldives,Vaavu Atoll,Garden Room,2,2,203,4.63,0.58,0.0,2.5,359,Butler Service|Sun Deck|WiFi|Outdoor Shower|Private Pool|Direct Lagoon Access|Kayak|Glass Floor,32231,550481,5.86,87,3.3231,74.3777
MLD0032,Maldives,North Male Atoll,Sunset Villa,3,3,720,4.62,0.69,0.0,1.3,52,Kayak|Sun Deck|Outdoor Shower|Butler Service|Glass Floor|Snorkeling Gear|AC|Private Pool|WiFi,135999,2316695,5.87,89,8.5738,75.187
MLD0033,Maldives,Ari Atoll,Garden Room,3,3,227,4.57,0.86,0.0,0.5,304,Kayak|AC|Direct Lagoon Access|Butler Service|Outdoor Shower|Glass Floor|Private Pool,53441,977770,5.47,89,8.6435,72.8131
MLD0034,Maldives,Lhaviyani Atoll,Garden Room,2,2,271,4.49,0.85,0.0,1.6,295,Butler Service|WiFi|Sun Deck|Glass Floor|Private Pool|Direct Lagoon Access,63058,1038535,6.07,92,6.4397,75.5979
MLD0035,Maldives,Baa Atoll,Overwater Bungalow,1,1,602,4.67,0.62,0.0,1.3,36,Sun Deck|Butler Service|Private Pool|WiFi|Glass Floor|Outdoor Shower|Direct Lagoon Access|AC|Snorkeling Gear,102174,1651121,6.19,90,5.2834,73.8365
MLD0036,Maldives,Noonu Atoll,Beach Villa,2,2,340,4.32,0.56,0.0,1.8,465,Outdoor Shower|Glass Floor|Butler Service|Kayak|Snorkeling Gear|Sun Deck|Private Pool|WiFi|AC,52122,947656,5.5,82,2.8097,76.2851
MLD0037,Maldives,Addu Atoll,Garden Room,2,2,193,4.71,0.78,0.0,2.9,237,Butler Service|WiFi|Direct Lagoon Access|Kayak|Private Pool,41210,632837,6.51,95,5.5333,75.2884
MLD0038,Maldives,South Male Atoll,Water Villa,1,1,739,4.87,0.58,0.0,2.5,49,AC|WiFi|Glass Floor|Kayak|Outdoor Shower|Sun Deck|Private Pool|Butler Service|Direct Lagoon Access,117335,1968892,5.96,90,4.6541,73.8611
MLD0039,Maldives,Addu Atoll,Overwater Bungalow,3,3,466,4.91,0.72,0.0,2.9,235,AC|Snorkeling Gear|Private Pool|Kayak|Outdoor Shower|Glass Floor|Direct Lagoon Access|WiFi|Sun Deck,91849,1500861,6.12,94,2.7168,72.746
MLD0040,Maldives,Ari Atoll,Water Villa,2,2,675,4.5,0.67,0.0,2.6,100,Glass Floor|Butler Service|Kayak|Sun Deck|Direct Lagoon Access|AC,123803,2163590,5.72,87,2.356,73.3845
MLD0041,Maldives,Ari Atoll,Overwater Bungalow,2,2,606,4.64,0.6,0.0,0.6,49,Glass Floor|Sun Deck|Snorkeling Gear|AC|Direct Lagoon Access,99536,1806177,5.51,86,7.6294,73.2226
MLD0042,Maldives,Addu Atoll,Water Villa,3,3,525,4.48,0.83,0.0,1.9,309,Kayak|Snorkeling Gear|AC|Sun Deck|WiFi|Direct Lagoon Access|Butler Service|Private Pool,119287,1840141,6.48,94,7.1729,74.0876
MLD0043,Maldives,Vaavu Atoll,Garden Room,3,3,186,4.5,0.72,0.0,1.3,439,Kayak|AC|Glass Floor|Butler Service|Private Pool|Direct Lagoon Access|Sun Deck|WiFi,36661,579477,6.33,91,4.7895,72.5767
MLD0044,Maldives,Vaavu Atoll,Water Villa,1,1,649,4.34,0.57,0.0,2.4,417,Direct Lagoon Access|Butler Service|Glass Floor|Sun Deck|AC|Private Pool|Outdoor Shower|Snorkeling Gear,101268,1780270,5.69,83,7.6968,74.474
MLD0045,Maldives,Baa Atoll,Garden Room,2,2,255,4.79,0.79,0.0,1.0,585,Outdoor Shower|Snorkeling Gear|Private Pool|Butler Service|Kayak|WiFi|Direct Lagoon Access|Sun Deck|Glass Floor,55147,993272,5.55,91,2.7306,76.4308
MLD0046,Maldives,Noonu Atoll,Water Villa,3,3,731,4.75,0.88,0.0,2.6,284,Outdoor Shower|Kayak|Glass Floor|Snorkeling Gear|Sun Deck|Butler Service|Private Pool,176098,2753267,6.4,97,5.0951,72.786
MLD0047,Maldives,Vaavu Atoll,Beach Villa,2,2,338,4.79,0.69,0.0,1.3,180,WiFi|Glass Floor|Outdoor Shower|Direct Lagoon Access|Kayak,63844,1084360,5.89,91,8.1054,72.6903
MLD0048,Maldives,Ari Atoll,Overwater Bungalow,3,3,628,4.33,0.79,0.0,0.5,371,AC|Butler Service|Private Pool|Kayak|Glass Floor|Snorkeling Gear|Outdoor Shower|Sun Deck|Direct Lagoon Access,135813,2338160,5.81,88,4.0033,73.2957
MLD0049,Maldives,South Male Atoll,Overwater Bungalow,3,3,679,4.21,0.7,0.0,0.3,244,AC|Sun Deck|Snorkeling Gear|Direct Lagoon Access|WiFi|Glass Floor,130113,2161434,6.02,87,5.5073,73.7866
MLD0050,Maldives,Lhaviyani Atoll,Beach Villa,2,2,374,4.5,0.79,0.0,2.8,523,Outdoor Shower|Snorkeling Gear|Sun Deck|Private Pool|Kayak|AC|WiFi,80882,1356324,5.96,90,6.1288,73.3025
MLD0051,Maldives,Addu Atoll,Garden Room,1,1,169,4.33,0.64,0.0,0.9,44,WiFi|Kayak|Private Pool|Direct Lagoon Access|AC|Outdoor Shower,29609,495403,5.98,86,5.9388,76.2798
MLD0052,Maldives,Lhaviyani Atoll,Overwater Bungalow,2,2,545,4.71,0.84,0.0,2.0,25,Butler Service|WiFi|Direct Lagoon Access|Private Pool|Outdoor Shower|Sun Deck|Snorkeling Gear|AC,125323,1986371,6.31,95,3.8379,72.657
MLD0053,Maldives,Baa Atoll,Overwater Bungalow,3,3,659,4.8,0.57,0.0,0.9,479,Outdoor Shower|Snorkeling Gear|WiFi|Kayak|Butler Service|Sun Deck|Private Pool|Direct Lagoon Access|AC,102829,1784506,5.76,88,7.4786,74.3213
MLD0054,Maldives,Ari Atoll,Overwater Bungalow,2,2,689,4.51,0.61,0.0,1.5,504,Glass Floor|Outdoor Shower|WiFi|Snorkeling Gear|Private Pool|Direct Lagoon Access|Sun Deck|Butler Service|Kayak,115054,1948235,5.91,87,8.6364,72.775
MLD0055,Maldives,Lhaviyani Atoll,Sunset Villa,3,3,541,4.46,0.73,0.0,0.3,569,Outdoor Shower|Private Pool|Glass Floor|AC|Snorkeling Gear|Butler Service,108112,1734486,6.23,91,7.7391,74.7158
MLD0056,Maldives,South Male Atoll,Garden Room,1,1,236,4.43,0.65,0.0,1.5,350,Private Pool|Outdoor Shower|Snorkeling Gear|Glass Floor|Butler Service|Sun Deck|Kayak|AC|Direct Lagoon Access,41993,746855,5.62,85,8.7705,74.2546
MLD0057,Maldives,Baa Atoll,Overwater Bungalow,1,1,678,4.88,0.7,0.0,2.0,545,Butler Service|Snorkeling Gear|Glass Floor|WiFi|Direct Lagoon Access|Private Pool|AC|Sun Deck|Kayak,129922,2048845,6.34,95,7.2045,74.628
MLD0058,Maldives,Ari Atoll,Overwater Bungalow,2,2,710,4.82,0.63,0.0,2.6,588,Outdoor Shower|WiFi|AC|Kayak|Direct Lagoon Access|Private Pool|Butler Service,122448,2163270,5.66,89,4.4228,73.1904
MLD0059,Maldives,Addu Atoll,Overwater Bungalow,2,2,383,4.56,0.67,0.0,2.0,339,Sun Deck|Glass Floor|Kayak|Butler Service|AC|Direct Lagoon Access,70247,1097736,6.4,92,8.0177,73.531
MLD0060,Maldives,Vaavu Atoll,Garden Room,3,3,184,4.58,0.72,0.0,0.9,542,Direct Lagoon Access|Kayak|Outdoor Shower|AC|Private Pool|Snorkeling Gear|Sun Deck|Glass Floor|Butler Service,36266,576854,6.29,92,3.1879,75.3738
MLD0061,Maldives,South Male Atoll,Beach Villa,1,1,454,4.57,0.8,0.0,2.6,570,Direct Lagoon Access|Private Pool|Outdoor Shower|Snorkeling Gear|Kayak|WiFi|Glass Floor|Sun Deck,99426,1537217,6.47,94,8.7632,75.7841
MLD0062,Maldives,Addu Atoll,Garden Room,1,1,164,4.35,0.59,0.0,0.7,390,Direct Lagoon Access|Outdoor Shower|WiFi|AC|Sun Deck|Butler Service|Glass Floor,26488,463378,5.72,84,5.2876,75.6317
MLD0063,Maldives,Baa Atoll,Beach Villa,2,2,526,4.68,0.79,0.0,0.3,178,Snorkeling Gear|AC|WiFi|Kayak|Outdoor Shower|Direct Lagoon Access|Butler Service|Sun Deck|Private Pool,113754,1824530,6.23,94,6.4648,72.5374
MLD0064,Maldives,Vaavu Atoll,Overwater Bungalow,2,2,430,4.88,0.79,0.0,1.1,106,Butler Service|Kayak|Glass Floor|Private Pool|Outdoor Shower|Sun Deck|Direct Lagoon Access|AC,92993,1608147,5.78,93,7.5472,73.7272
MLD0065,Maldives,Vaavu Atoll,Water Villa,1,1,516,4.95,0.67,0.0,0.6,582,Kayak|Glass Floor|Butler Service|Private Pool|Sun Deck,94641,1574781,6.01,93,7.3793,73.3866
MLD0066,Maldives,Ari Atoll,Water Villa,3,3,726,4.39,0.9,0.0,0.9,323,Snorkeling Gear|WiFi|Sun Deck|Outdoor Shower|Kayak,178868,3026161,5.91,91,8.4769,73.0876
MLD0067,Maldives,Noonu Atoll,Sunset Villa,2,2,565,4.96,0.86,0.0,0.9,231,Sun Deck|Kayak|Snorkeling Gear|Private Pool|WiFi|Direct Lagoon Access|Outdoor Shower,133015,2276354,5.84,95,7.3262,76.4441
MLD0068,Maldives,Lhaviyani Atoll,Beach Villa,2,2,380,4.81,0.67,0.0,0.8,224,Direct Lagoon Access|Butler Service|Outdoor Shower|Sun Deck|WiFi|AC|Glass Floor|Snorkeling Gear|Kayak,69697,1143351,6.1,92,7.5569,74.3594
MLD0069,Maldives,Baa Atoll,Overwater Bungalow,1,1,708,5.0,0.69,0.0,2.2,341,Direct Lagoon Access|Butler Service|Sun Deck|Kayak|Snorkeling Gear|Private Pool,133732,2168796,6.17,94,4.7495,75.2826
MLD0070,Maldives,South Male Atoll,Overwater Bungalow,1,1,679,4.63,0.82,0.0,0.5,396,Glass Floor|Outdoor Shower|Kayak|Butler Service|Sun Deck|WiFi|Private Pool|Snorkeling Gear|Direct Lagoon Access,152419,2393567,6.37,95,5.5149,72.58
MLD0071,Maldives,Addu Atoll,Garden Room,2,2,167,4.61,0.56,0.0,1.1,156,Sun Deck|AC|Direct Lagoon Access|WiFi|Glass Floor|Kayak|Butler Service,25601,427881,5.98,87,6.012,76.203
MLD0072,Maldives,Addu Atoll,Sunset Villa,2,2,423,4.53,0.88,0.0,2.8,487,WiFi|Direct Lagoon Access|Outdoor Shower|AC|Butler Service|Sun Deck|Private Pool|Kayak,101901,1596452,6.38,95,2.9159,75.2032
MLD0073,Maldives,Noonu Atoll,Garden Room,1,1,224,4.83,0.81,0.0,2.3,548,Sun Deck|Snorkeling Gear|Outdoor Shower|Butler Service|Direct Lagoon Access|Private Pool|AC|Kayak|Glass Floor,49669,908344,5.47,91,5.7351,72.9524
MLD0074,Maldives,Ari Atoll,Overwater Bungalow,3,3,714,4.4,0.82,0.0,3.4,44,AC|Direct Lagoon Access|Kayak|Butler Service|WiFi|Private Pool|Outdoor Shower,160275,2776388,5.77,89,6.1722,74.3415
MLD0075,Maldives,Lhaviyani Atoll,Garden Room,2,2,230,4.48,0.77,0.0,2.7,492,WiFi|Kayak|Private Pool|Sun Deck|Glass Floor,48481,836866,5.79,89,3.3889,74.4759
MLD0076,Maldives,Vaavu Atoll,Garden Room,1,1,217,4.58,0.74,0.0,2.7,191,Sun Deck|Direct Lagoon Access|Private Pool|Butler Service|Glass Floor|WiFi|Kayak|Outdoor Shower,43959,756280,5.81,89,4.8654,76.0817
MLD0077,Maldives,Baa Atoll,Overwater Bungalow,2,2,629,5.0,0.59,0.0,0.2,567,Private Pool|Glass Floor|Kayak|Butler Service|Sun Deck,101591,1825258,5.57,89,3.7147,75.4188
MLD0078,Maldives,Lhaviyani Atoll,Beach Villa,3,3,459,4.89,0.9,0.0,1.2,422,Private Pool|AC|Sun Deck|Glass Floor|Direct Lagoon Access|WiFi|Butler Service|Snorkeling Gear|Kayak,113086,1964019,5.76,95,2.8078,74.1272
MLD0079,Maldives,Addu Atoll,Overwater Bungalow,1,1,497,4.49,0.76,0.0,1.9,55,Sun Deck|Butler Service|WiFi|Private Pool|Direct Lagoon Access|Snorkeling Gear,103401,1773655,5.83,89,8.8103,72.7229
MLD0080,Maldives,Lhaviyani Atoll,Sunset Villa,1,1,552,4.89,0.72,0.0,0.5,487,Outdoor Shower|Butler Service|Private Pool|Sun Deck|Kayak|WiFi|AC|Glass Floor|Direct Lagoon Access,108799,1835272,5.93,93,4.3245,73.1198
MLD0081,Maldives,South Male Atoll,Sunset Villa,2,2,597,4.62,0.88,0.0,2.9,200,Direct Lagoon Access|Kayak|Butler Service|AC|Private Pool,143817,2489459,5.78,92,2.0352,74.2113
MLD0082,Maldives,Noonu Atoll,Sunset Villa,3,3,450,4.93,0.61,0.0,1.1,481,Butler Service|Private Pool|Snorkeling Gear|AC|Kayak,75144,1256617,5.98,91,3.8435,73.3395
MLD0083,Maldives,South Male Atoll,Beach Villa,2,2,432,4.27,0.57,0.0,1.4,192,Butler Service|WiFi|Private Pool|Snorkeling Gear|AC|Kayak,67408,1173048,5.75,83,5.8836,74.1915
MLD0084,Maldives,Lhaviyani Atoll,Beach Villa,3,3,428,4.49,0.88,0.0,0.4,275,Outdoor Shower|Snorkeling Gear|Sun Deck|Butler Service|Direct Lagoon Access|AC|Kayak,103105,1778008,5.8,91,8.239,75.7155
MLD0085,Maldives,Vaavu Atoll,Water Villa,1,1,543,4.44,0.8,0.0,0.5,184,AC|Kayak|Sun Deck|Outdoor Shower|Glass Floor|WiFi|Snorkeling Gear|Butler Service,118917,2105569,5.65,88,7.0323,75.4184
MLD0086,Maldives,North Male Atoll,Sunset Villa,2,2,594,4.77,0.79,0.0,2.9,222,Sun Deck|Snorkeling Gear|Outdoor Shower|Butler Service|AC|Glass Floor,128460,1944711,6.61,97,2.1618,73.992
MLD0087,Maldives,Noonu Atoll,Sunset Villa,3,3,443,4.65,0.87,0.0,1.5,42,Direct Lagoon Access|Sun Deck|Snorkeling Gear|Butler Service|Kayak|Glass Floor|Outdoor Shower,105506,1879748,5.61,91,2.0017,73.1741
MLD0088,Maldives,South Male Atoll,Sunset Villa,3,3,464,4.46,0.87,0.0,0.5,587,Glass Floor|Butler Service|Kayak|WiFi|Sun Deck|AC,110507,1880980,5.87,91,5.1605,76.2539
MLD0089,Maldives,Addu Atoll,Sunset Villa,1,1,359,4.37,0.56,0.0,1.6,354,Direct Lagoon Access|AC|Private Pool|Kayak|Snorkeling Gear|Sun Deck|Butler Service,55035,876493,6.28,87,8.0893,74.9198
MLD0090,Maldives,South Male Atoll,Beach Villa,2,2,434,4.63,0.58,0.0,1.7,599,Butler Service|Glass Floor|Kayak|Outdoor Shower|Private Pool|Snorkeling Gear|WiFi,68908,1263200,5.46,85,7.8466,76.0738
MLD0091,Maldives,Addu Atoll,Garden Room,2,2,197,4.28,0.63,0.0,0.2,317,WiFi|AC|Sun Deck|Snorkeling Gear|Glass Floor|Outdoor Shower,33975,543998,6.25,87,2.7603,74.3912
MLD0092,Maldives,North Male Atoll,Beach Villa,3,3,553,4.9,0.81,0.0,3.3,39,Outdoor Shower|Kayak|WiFi|Glass Floor|Snorkeling Gear,122621,1861345,6.59,98,2.0853,75.1454
MLD0093,Maldives,Baa Atoll,Sunset Villa,1,1,590,4.4,0.67,0.0,1.1,65,Kayak|Sun Deck|Snorkeling Gear|WiFi|Direct Lagoon Access|AC|Butler Service,108213,1807675,5.99,88,5.081,74.5497
MLD0094,Maldives,South Male Atoll,Water Villa,1,1,757,4.51,0.64,0.0,0.7,186,Glass Floor|Outdoor Shower|Butler Service|Snorkeling Gear|Private Pool|Direct Lagoon Access|WiFi,132626,2143888,6.19,89,7.1926,75.5268
MLD0095,Maldives,Lhaviyani Atoll,Water Villa,1,1,756,4.39,0.76,0.0,2.1,167,Snorkeling Gear|Kayak|Outdoor Shower|Private Pool|AC|Direct Lagoon Access,157286,2613184,6.02,89,5.8499,74.4672
MLD0096,Maldives,Noonu Atoll,Overwater Bungalow,2,2,561,4.77,0.59,0.0,2.7,227,AC|Direct Lagoon Access|Glass Floor|WiFi|Kayak|Snorkeling Gear,90609,1400177,6.47,92,2.4664,76.4043
MLD0097,Maldives,Vaavu Atoll,Garden Room,2,2,227,4.25,0.71,0.0,0.8,344,Direct Lagoon Access|Outdoor Shower|Butler Service|Glass Floor|Kayak|Snorkeling Gear,44120,733178,6.02,87,7.8112,76.3024
MLD0098,Maldives,Lhaviyani Atoll,Garden Room,3,3,250,4.48,0.76,0.0,1.2,192,Sun Deck|Direct Lagoon Access|AC|Snorkeling Gear|Glass Floor|WiFi|Private Pool|Outdoor Shower,52012,937919,5.55,87,8.0928,74.7329
MLD0099,Maldives,Ari Atoll,Water Villa,2,2,739,4.43,0.56,0.0,2.9,521,Sun Deck|Private Pool|Outdoor Shower|Kayak|AC|Direct Lagoon Access|WiFi,113289,1869413,6.06,86,4.2759,74.3844
MLD0100,Maldives,Ari Atoll,Overwater Bungalow,1,1,712,4.3,0.85,0.0,3.2,164,Outdoor Shower|Direct Lagoon Access|AC|Snorkeling Gear|Glass Floor|Sun Deck|Kayak,165673,3007908,5.51,87,4.7824,73.3686
MLD0101,Maldives,Lhaviyani Atoll,Water Villa,2,2,693,4.47,0.61,0.0,2.2,94,Private Pool|WiFi|Outdoor Shower|Direct Lagoon Access|Glass Floor|Snorkeling Gear|Kayak|AC,115722,1919683,6.03,87,8.0599,72.6284
MLD0102,Maldives,Noonu Atoll,Overwater Bungalow,3,3,574,4.81,0.82,0.0,3.1,475,Private Pool|Butler Service|AC|Direct Lagoon Access|WiFi|Glass Floor|Snorkeling Gear|Sun Deck,128849,2245853,5.74,92,8.4947,73.8306
MLD0103,Maldives,North Male Atoll,Garden Room,3,3,300,4.21,0.55,0.0,1.0,391,Outdoor Shower|Private Pool|WiFi|Snorkeling Gear|Butler Service|Sun Deck|Kayak|AC,45169,692713,6.52,87,3.8215,73.2082
MLD0104,Maldives,Vaavu Atoll,Water Villa,3,3,515,4.93,0.55,0.0,2.6,17,Direct Lagoon Access|Butler Service|Outdoor Shower|WiFi|Snorkeling Gear|Private Pool|Kayak,77540,1202425,6.45,93,8.3856,76.0712
MLD0105,Maldives,Noonu Atoll,Sunset Villa,2,2,518,4.74,0.55,0.0,3.5,50,Sun Deck|Glass Floor|Outdoor Shower|Private Pool|Snorkeling Gear|Butler Service,77991,1398075,5.58,86,8.2657,75.137
MLD0106,Maldives,South Male Atoll,Garden Room,2,2,229,4.91,0.65,0.0,2.1,565,Private Pool|AC|WiFi|Snorkeling Gear|Butler Service|Sun Deck|Kayak,40748,624766,6.52,95,8.4537,73.0631
MLD0107,Maldives,Lhaviyani Atoll,Beach Villa,2,2,385,4.65,0.82,0.0,2.2,375,Outdoor Shower|Private Pool|Glass Floor|Butler Service|Kayak|Sun Deck|WiFi,86423,1363217,6.34,95,2.0066,75.5286
MLD0108,Maldives,North Male Atoll,Sunset Villa,3,3,773,4.85,0.71,0.0,3.2,515,Snorkeling Gear|Butler Service|Direct Lagoon Access|WiFi|Private Pool|Glass Floor|Outdoor Shower|Sun Deck,150242,2458884,6.11,93,5.6745,74.4085
MLD0109,Maldives,Addu Atoll,Water Villa,2,2,532,4.82,0.73,0.0,1.2,160,Kayak|Snorkeling Gear|Glass Floor|Private Pool|Outdoor Shower|Butler Service|WiFi|AC,106314,1686196,6.3,94,2.2642,74.8328
MLD0110,Maldives,South Male Atoll,Garden Room,3,3,221,4.32,0.78,0.0,2.4,198,AC|WiFi|Outdoor Shower|Snorkeling Gear|Private Pool,47189,826146,5.71,87,5.525,76.0762
MLD0111,Maldives,Lhaviyani Atoll,Overwater Bungalow,2,2,679,4.85,0.77,0.0,1.2,562,Snorkeling Gear|WiFi|Sun Deck|Glass Floor|Outdoor Shower,143125,2615822,5.47,90,3.919,73.3106
